Decision	SAT	ACT	Subject_tests	GPA	Rank	Gender	Ethnicity	Income_Bracket	School_Type
Decision: Accepted	SAT I (breakdown M/CR/W/Essay): 1460 (730 E, 730 M, no essay)	ACT (breakdown): 35 (36 W, 36 R, 35 M, 32 S, 9 essay)	SAT II (subject, score): never took any	GPA: UW: 4.0	school doesn't rank, but I have a chance at salutatorian	female	white	Income Bracket Range: 35,000-45,000	small Christian private (I received scholarships to attend)
Decision: Rejected	SAT I (breakdown):	ACT (breakdown): 30C ( 35 English, 35 Reading, 25 Math, 25 Science)	SAT II: 700 Lit, 710 USH	GPA (out of 4.0): School only does weighted so 4.0	Top 10%	female	Afro-Caribbean	Income Bracket: (Flo Rida voice) low low low	Private Catholic
Decision: Waitlisted	SAT I (breakdown):1510, 720 Eng, Reading, 790 math	ACT (breakdown):33, 34 math, 36 science, 29 english, 32 reading	SAT II: 780 bio M, 720 Math 2 (did not submit)	GPA (out of 4.0): 4.0	Top 10%	male	white	Income Bracket: 250k+	public
Decision: Rejected	SAT I (breakdown):N/A	ACT : 33 (32 E, 35 M, 32 R, 35 S)	SAT II: Didn't send	GPA: 3.805	N/A	Male	White	Income Bracket: middle class	Private
Decision: Waitlisted (after deferral EA)	SAT I (breakdown): 1540 (770 each section)	ACT (breakdown): n/a	SAT II: 800 USH, 780 Math II, 690 Lit (didn't send Lit)	GPA (out of 4.0): 3.98	Top 10%	Male	White	Income Bracket: > $100,000	Public
Decision: Waitlisted	SAT I (breakdown): 1250 (didn't submit)	ACT (breakdown): 33	SAT II:740 Bio E, 720 WH	GPA (out of 4.0): 3.8	N/A, homeschooled	Female	African American	Income Bracket: $150k	Homeschool
Decision: Accepted	SAT I (breakdown): 1530	ACT (breakdown): 33	SAT II: 800 M2, 800 Bio, 730 Physics (took this twice )	GPA (out of 4.0): 4.0	Top 10%	M	Asian	Income Bracket: 100k+	Private
Decision: Accepted	SAT I (breakdown): 1550	ACT (breakdown): NA	SAT II: 800 Math II, 790 Physics	GPA (out of 4.0): 4.0	4	Male	Indian	Income Bracket: unsure, decent amount	Public
Decision: Deferred	SAT I (breakdown): n/a	ACT (breakdown): 35, (36 English, 33 math, 34 reading, 35 science)	SAT II: 780 Math2, 730 Chemistry	GPA (out of 4.0): 4.0	n/a	Male	White	Income Bracket: $100-125k	Public charter
Decision: Accepted	SAT I (breakdown): 1470 - 730 (36.5) Math, R&W 740 - 34 R 40 W	ACT (breakdown): n/a	SAT II: didnt take them	GPA (out of 4.0): 3.805	n/a	Gender	Hispanic	Income Bracket:	Semi-Private
Decision: Accepted [/color][/size]	SAT I (breakdown): 1400 (700 Math, 700 English)	ACT (breakdown): Didn't submit	SAT II: N/A	GPA (out of 4.0): 4.0	Top 10%	Male	White	Income Bracket: >$60,000	Public
Decision: Rejected [/color][/size][/b]	SAT I (breakdown): 1460 (730 on both)	ACT (breakdown): 29 (didn't submit, 24 science, 27 math, 31 English, 35 reading)	SAT II: none	GPA (out of 4.0): 3.5	n/a	Female	Asian	Income Bracket: >60,000	Public, large (2000+ students)
Decision: Deferred	SAT I (breakdown): N/A	ACT (breakdown): 34C: 36E, 33R, 30M, 36S	SAT II: 720 Math II, 720 Bio M	GPA (out of 4.0): 3.9	Top 10%	M	White	Income Bracket: 100k	Public, large
Decision: Accepted - ED[/color][/size][/b]	SAT I (breakdown): 750 Math, 740 Writing, 23 overall essay	ACT (breakdown): n/a	SAT II: 780 math II, 730 English	GPA (out of 4.0): 4.0	School doesn’t report rank	Male	White, Native American	Income Bracket: 200,000+	public, very large
Decision: Accepted	SAT I (breakdown): 1500 (770 R/730 M)		SAT II: 710 Spanish, 720 Math II	GPA (out of 4.0): 3.6	Not Top 10%	Male	Black/African-American	Income Bracket: Err, upper middle class? I dunno tbh.	Private
Decision : Accepted	SAT I : 1550	ACT : 34	SAT II: 780 Math II	GPA (out of 4.0): 3.88	N/A	Female	Black	Income Bracket: 200,000+	Private
Decision: Accepted [/color][/size]	SAT I (breakdown): 1440 (Did not send)	ACT (breakdown): 33	SAT II: 680 Chemistry and 780 Spanish (Did not send scores)	GPA (out of 4.0): 4.0	n/a	Male	Hispanic	Income Bracket: $80,000+	Private and Catholic
Decision: Accepted	SAT I (breakdown): 1600	ACT (breakdown): N/A	SAT II: 800 (Math 2), 800 (Physics), 800 (Chemistry)	GPA (out of 4.0): 4.0	Top 10%	Male		Income Bracket:	Local/Private
Decision: Accepted	SAT I (breakdown): 1480 Writing:750 Math: 730	ACT (breakdown): Didn't take	SAT II: US History 780 Math 1: 720 Math 2: 760	GPA (out of 4.0): 3.8( showed strong upward trend post-freshman year)	N/A	Male	African	Income Bracket: 50k-100k	Private
Decision: Accepted	SAT I (breakdown): 1580 (M-800, RW-780, Essay-23)		SAT II: Chem-800, Math II-790, Bio-780, World History-780, US History-760	GPA (out of 4.0): 4.0	Top 10%	Male	Caucasian	Income Bracket: ~200k	Public
Decision: Accepted	SAT I (breakdown): 1580 (800 M, 780 R/W)	ACT (breakdown): N/A	SAT II: Math II 800, World History 790, Chemistry 780	GPA (out of 4.0): 4.0	Top 10%	Male	Asian	Income Bracket: 100k +	Public
Decision: Accepted [/color][/size]	SAT I (breakdown): 1490	ACT (breakdown): 35 (E:35 M:36 R:33 S:36)	SAT II: Math II: 800 Physics 800	GPA: 4.0	N/A	Male	Indian American	Income Bracket:	International Private
Decision: Deferred	SAT I (breakdown):	ACT (breakdown): 26 composite	SAT II:	GPA (out of 4.0): 3.3	---	F	African-American	Income Bracket: High	Private
Decision: Accepted	SAT I (breakdown): N/A	ACT (breakdown): 33 - E 34, M 33, R 31, S 33 (Writing 8)	SAT II: Maths 1 700, German 580	GPA (out of 4.0): N/A	N/A	Male	White and Asian	Income Bracket: Not sure, probs safe to say upper middle class	Private boarding school
Decision: Deferred [/color][/size]	SAT I (breakdown): 1560 (790 CR / 770 Math)	ACT (breakdown): n/a	SAT II: 750 US History, 780 Literature	GPA (out of 4.0): 3.675	n/a	Female	White	Income Bracket:	Public, very very competitive (a ton of kids go to Ivies)
Decision: Accepted		ACT (breakdown): 34C		GPA (out of 4.0): 3.99	N/A	Female	Asian (Indian)	Income Bracket: Didn't require aid	Private
Decision: Accepted		ACT: 35 superscored (36 math, 36 english, 35 writing, 33 science)	SAT II: 770 chem, 780 math 2	GPA: 4.0		male	asian	Income Bracket: ~$60,000	early college entrance program (University of North Texas)
Decision: Accepted		ACT (breakdown): 36 (English 36, Math 35, Reading 35, Science 36)	SAT II: Math II 790, Chemistry: 710	GPA (out of 4.0): 3.9	Not Top 10%	M	Hispanic	Income Bracket: Upper	Catholic
Decision: Rejected	SAT I (breakdown): N/A	ACT (breakdown): 35C, 35E, 35M, 34R, 36S (single sitting)	SAT II: Math II 760, Bio 740	GPA (out of 4.0): 4.0	N/A	F	Caucasian	Income Bracket: Top	Public
Decision: Rejected	SAT I): 1440 (780 r, 670 m)	ACT: 32 (36R 36W 30Sci 30M)	SAT II: Lit:750 History: 700	GPA (out of 4.0): 3.67	Not Top 10%	female	white	Income Bracket: idk upper middle class	public suburban
Decision: Accepted	SAT I (breakdown): n/a	ACT (breakdown): 36 - (36E 36M 36R 36S- not superscored)	SAT II: n/a	GPA (out of 4.0): 4.0	n/a	Male	White	Income Bracket: ~$130k ish	Private, Catholic
Decision: Accepted	SAT I: 1560 (Reading 770, Math 790)	ACT: 36 (English 36, Math 35, Reading 36, Science 36)		GPA: 3.97	Top 10%	Female	Asian	Income Bracket: Upper middle class	Charter
Decision: Accepted	SAT I (breakdown): Didn't take	ACT (breakdown): 34 (34E, 34M, 34S, 32R)	SAT II: 760 Biology	GPA (out of 4.0): 3.7	n/a	Female	African-American	Income Bracket: highest income bracket	Public School
Decision: Accepted		ACT: 35		GPA (out of 4.0): 3.96		Female	Caucasian	Income Bracket: High	Public
Decision: Rejected		ACT (breakdown): 34		GPA (out of 4.0): 4.0	Top 10%	female	white	Income Bracket: high	public
Decision: Accepted	SAT I (breakdown): 1280 (690 Reading, 590 Math)	ACT (breakdown): 28		GPA (out of 4.0): 3.86	Top 10%	Female	Hispanic		Public-charter
Decision: Accepted	SAT I (breakdown): Didn't take	ACT (breakdown): 28 Superscore		GPA (out of 4.0): 3.9	Not Top 10%	Female	Biracial- White and African American	Income Bracket: Lowest Income Bracket	Public
Decision: Accepted	SAT I (breakdown):1560 (800 english, 760 math)			GPA : 3.81	school doesn't rank	Male	White	Income Bracket: 100k-150k	IB
Decision: Accepted	SAT I (breakdown): 1560 superscore 800 math 760 English	ACT (breakdown): n/a	SAT II: 800 math II	GPA (out of 4.0): 3.96	n/a	female	white	Income Bracket: middle income for our are but overall high	Public secondary school
Decision: Accepted	SAT I (breakdown): 760 read/write, 800 math	ACT (breakdown): 33 Composite (3 straight times) -- never submitted any of the 3	SAT II: 790 math 2, 740 chemistry, 710 lit -- did not submit any of these	GPA (out of 4.0): 3.91	Top 10%	Male	White	Income Bracket: Parents keep this one secret, which means it's pretty high	Typical, large suburban
Decision: Accepted	SAT I (breakdown): Math (770) English (760)	ACT (breakdown): 32 (didn’t send)	SAT II: Lit (700) Math 2 (640) US History (690) accidentally sent them	GPA (out of 4.0): 3.986	Top 10%	female	white	Income Bracket: ~$45,000	Private, Catholic
Decision: Accepted	SAT I (breakdown):1540, 760 Math, 780 Reading	ACT (breakdown): N/A	SAT II: 740 Bio	GPA (out of 4.0): 3.85	N/A	F	Asian (Indian, probs a minority at ND loll)	Income Bracket: ~200ish	Public
Decision: Rejected	SAT I (breakdown): N/A	ACT (breakdown): 36	SAT II: N/A	GPA (out of 4.0): 3.9	N/A	M	Half White, Half Asian	Income Bracket: $250-$300k	Public, Suburbs of Chicago
Decision: Accepted	SAT I (breakdown): 1550, not sure of breakdown	ACT (breakdown): 35 C	SAT II: not taken	GPA (out of 4.0): 4.0	Top 10%	M	Caucasion	Income Bracket: $120k	Public - over 2000 students
Decision: Accepted	SAT I (breakdown): 1550	ACT (breakdown): didn't take	SAT II: 750, 750, 750	GPA (out of 4.0): 4.0	Not Top 10%	female	white and asian	Income Bracket: upper middle	public
Decision: Rejected	SAT I: 1540 (780 Eng, 760 Math):	ACT: 34		GPA: 3.92		M	W	Income Bracket: ~ $150000	Catholic
Decision: Rejected	SAT I (breakdown): 1340	ACT (breakdown): 32	SAT II:	GPA (out of 4.0): 3.88	Top 10%	Female	White	Income Bracket: $200,000+	Public
Decision: Rejected	SAT I (breakdown): N/A	ACT (breakdown): 34	SAT II: N/A	GPA (out of 4.0): 4.0	Top 10%	Male	White	Income Bracket: Upper middle class	Medium/Large, well respected public school
Decision: Accepted	SAT I (breakdown): -	ACT (breakdown): 34C (35 Read, 36 Write, 31 Math, 35 Science)	SAT II: -	GPA (out of 4.0): 3.93	-	Male	White/Hispanic	Income Bracket: ~150k	Stem focused public residential
Decision: Accepted	SAT I (breakdown): didn’t take	ACT (breakdown): 34 (33E, 34M, 35R, 33S)	SAT II: didn’t take	GPA (out of 4.0): 3.96	Top 10%	Female	White	Income Bracket: 125,000-180,000	Public
Decision: Accepted[/color][/size][/b]	SAT I (breakdown):1380	ACT (breakdown):25	SAT II:N/A	GPA (out of 4.0): 3.70	Top 10%	Female	Angolan 1st gen African America	Income Bracket:...not gonna say but low enough for questbridge	Public
Decision: Accepted[/color][/size][/b]	SAT I (breakdown): N/A	ACT (breakdown): 35 M:36 S:36 E:35 R:33	SAT II: math 2: 780 US History: 730	GPA (out of 4.0): 4.0	N/A	male	white	Income Bracket: 200,000+	public
Decision: Accepted		ACT. 34							
Decision: Accepted	SAT I (breakdown): 1500 (720 Reading, 780 Math)	ACT (breakdown):	SAT II: 720 US history, 760 chemistry	GPA (out of 4.0): 3.85	Top 10%	female	Mexican	Income Bracket: 200k	public (2200+)
Decision: Accepted	SAT I (breakdown): Did not take	ACT (breakdown): 34 (36E/29M/35R/35S)	SAT II: Did not take	GPA (out of 4.0): 3.93	Top 10%	Female	White	Income Bracket: $175,000~	Private, Catholic
Decision: Accepted	SAT I (breakdown): N/a	ACT (breakdown): 32 (36 English, 31 reading, 28 Math, 31 science)	SAT II: N/a	GPA (out of 4.0): 4.0	Top 10%	Female	White	Income Bracket: 200,000+	462 people in my grade so pretty big, very competitive and nationally ranked public high school
Decision: Rejected		ACT 34		GPA 3.76					
Decision: Accepted	SAT I (breakdown): didn't send	ACT (breakdown): 35 (W: 35, M: 35, R: 36, S: 35)	SAT II: 730 Chen, 790 math 2	GPA (out of 4.0): 4.0	unranked	Male	White	Income Bracket:	Public
Decision: Accepted
